Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9801,0.9768,0.983
3,0.9322,0.9264,0.9375
4,0.8941,0.8871,0.9006
5,0.8613,0.8536,0.8687
6,0.8241,0.8156,0.8323
7,0.7947,0.7857,0.8034
8,0.7841,0.775,0.793
9,0.7752,0.766,0.7842
10,0.7679,0.7585,0.777
11,0.7607,0.7513,0.77
12,0.7527,0.7432,0.7621
13,0.7484,0.7388,0.7578
14,0.7371,0.7274,0.7467
15,0.6473,0.6368,0.6577
16,0.4189,0.4081,0.4298
17,0.3006,0.2907,0.3107
18,0.2294,0.2203,0.2387
19,0.1809,0.1726,0.1895
20,0.1514,0.1437,0.1594
21,0.1246,0.1175,0.132
22,0.1049,0.0984,0.1119
23,0.0868,0.0809,0.0932
24,0.0727,0.0672,0.0786
25,0.0633,0.0582,0.0689
26,0.0546,0.0498,0.0598
27,0.0507,0.0461,0.0558
28,0.0477,0.0433,0.0526
29,0.0442,0.0399,0.049
30,0.04,0.0359,0.0445
