Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9801,0.9768,0.983
3,0.9322,0.9264,0.9375
4,0.8941,0.8871,0.9006
5,0.8613,0.8536,0.8687
6,0.8202,0.8116,0.8285
7,0.7942,0.7852,0.8029
8,0.7817,0.7726,0.7906
9,0.7739,0.7646,0.7829
10,0.7679,0.7585,0.777
11,0.7606,0.7511,0.7698
12,0.7526,0.7431,0.762
13,0.7481,0.7385,0.7575
14,0.7371,0.7274,0.7467
15,0.6473,0.6368,0.6577
16,0.4192,0.4084,0.43
17,0.3011,0.2911,0.3112
18,0.2294,0.2203,0.2387
19,0.1814,0.1731,0.19
20,0.1515,0.1439,0.1596
21,0.1246,0.1175,0.132
22,0.1052,0.0987,0.1121
23,0.0868,0.0809,0.0932
24,0.0727,0.0672,0.0786
25,0.0633,0.0582,0.0689
26,0.0546,0.0498,0.0598
27,0.0507,0.0461,0.0558
28,0.0477,0.0433,0.0526
29,0.0442,0.0399,0.049
30,0.04,0.0359,0.0445
