Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9801,0.9768,0.983
3,0.9322,0.9264,0.9375
4,0.8941,0.8871,0.9006
5,0.8613,0.8536,0.8687
6,0.8143,0.8057,0.8227
7,0.7919,0.7828,0.8006
8,0.78,0.7708,0.7889
9,0.7731,0.7638,0.7822
10,0.7679,0.7585,0.777
11,0.7606,0.7511,0.7698
12,0.7525,0.7429,0.7618
13,0.748,0.7384,0.7574
14,0.737,0.7272,0.7465
15,0.6509,0.6404,0.6613
16,0.4253,0.4145,0.4362
17,0.3016,0.2916,0.3117
18,0.23,0.2209,0.2394
19,0.182,0.1737,0.1906
20,0.1517,0.144,0.1597
21,0.1247,0.1176,0.1321
22,0.1053,0.0988,0.1122
23,0.0876,0.0816,0.094
24,0.0727,0.0672,0.0786
25,0.064,0.0588,0.0695
26,0.0551,0.0503,0.0603
27,0.0507,0.0461,0.0558
28,0.0477,0.0433,0.0526
29,0.0442,0.0399,0.049
30,0.0404,0.0363,0.0449
