Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9801,0.9768,0.983
3,0.9322,0.9264,0.9375
4,0.8941,0.8871,0.9006
5,0.8613,0.8536,0.8687
6,0.8241,0.8156,0.8323
7,0.7947,0.7857,0.8034
8,0.7784,0.7691,0.7873
9,0.7707,0.7614,0.7798
10,0.7602,0.7508,0.7695
11,0.75,0.7404,0.7594
12,0.7449,0.7352,0.7543
13,0.7398,0.73,0.7493
14,0.713,0.703,0.7228
15,0.5967,0.5859,0.6074
16,0.3941,0.3834,0.4048
17,0.2902,0.2804,0.3003
18,0.224,0.215,0.2333
19,0.1785,0.1703,0.1871
20,0.1496,0.1419,0.1575
21,0.1236,0.1165,0.131
22,0.1033,0.0968,0.1102
23,0.087,0.081,0.0933
24,0.0731,0.0676,0.079
25,0.0645,0.0593,0.0701
26,0.0552,0.0504,0.0604
27,0.0507,0.0461,0.0558
28,0.0477,0.0433,0.0526
29,0.0441,0.0398,0.0488
30,0.0406,0.0365,0.0452
