Day of isolation,Mean,Lower_CI,Upper_CI
0,16.0,9.0,28.0
1,15.0,8.0,27.0
2,14.0,7.0,26.0
3,13.0,6.0,25.0
4,12.0,5.0,24.0
5,11.0,4.0,23.0
6,10.0,3.0,22.0
7,9.0,2.0,21.0
8,8.0,1.0,20.0
9,7.0,0.0,19.0
10,6.0,0.0,18.0
11,5.0,0.0,17.0
12,4.0,0.0,16.0
13,3.0,0.0,15.0
14,2.0,0.0,14.0
15,1.0,0.0,13.0
16,0.0,0.0,12.0
17,0.0,0.0,11.0
18,0.0,0.0,10.0
19,0.0,0.0,9.0
20,0.0,0.0,8.0
21,0.0,0.0,7.0
22,0.0,0.0,6.0
23,0.0,0.0,5.0
24,0.0,0.0,4.0
25,0.0,0.0,3.0
26,0.0,0.0,2.0
27,0.0,0.0,1.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
