Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,0.9953,0.9935,0.9965
3,0.976,0.9724,0.9791
4,0.9355,0.9299,0.9407
5,0.9073,0.9007,0.9135
6,0.8604,0.8527,0.8679
7,0.8275,0.819,0.8356
8,0.8006,0.7917,0.8092
9,0.7911,0.7821,0.7999
10,0.7842,0.7751,0.7931
11,0.777,0.7677,0.786
12,0.7724,0.763,0.7814
13,0.7652,0.7558,0.7744
14,0.76,0.7505,0.7692
15,0.7542,0.7447,0.7636
16,0.749,0.7394,0.7584
17,0.7101,0.7001,0.72
18,0.5284,0.5174,0.5393
19,0.3876,0.3769,0.3983
20,0.3082,0.2982,0.3184
21,0.2562,0.2468,0.2659
22,0.2224,0.2134,0.2316
23,0.1912,0.1827,0.1999
24,0.1669,0.1589,0.1752
25,0.1417,0.1342,0.1495
26,0.1222,0.1152,0.1295
27,0.1074,0.1008,0.1144
28,0.0943,0.0881,0.1009
29,0.0811,0.0753,0.0873
30,0.071,0.0655,0.0768
