Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,1.0,0.9995,1.0
2,1.0,0.9995,1.0
3,1.0,0.9995,1.0
4,1.0,0.9995,1.0
5,1.0,0.9995,1.0
6,1.0,0.9995,1.0
7,0.9999,0.9993,1.0
8,0.9945,0.9926,0.9959
9,0.9884,0.9858,0.9905
10,0.974,0.9703,0.9773
11,0.9531,0.9483,0.9576
12,0.9278,0.9219,0.9333
13,0.8994,0.8926,0.9058
14,0.8582,0.8504,0.8657
15,0.7876,0.7785,0.7964
16,0.6343,0.6237,0.6448
17,0.4704,0.4595,0.4813
18,0.3243,0.3142,0.3347
19,0.2105,0.2017,0.2196
20,0.1567,0.1489,0.1648
21,0.1116,0.1049,0.1187
22,0.0811,0.0753,0.0873
23,0.059,0.054,0.0643
24,0.0449,0.0405,0.0496
25,0.0339,0.0301,0.038
26,0.0297,0.0262,0.0337
27,0.028,0.0246,0.0318
28,0.0267,0.0234,0.0305
29,0.025,0.0218,0.0286
30,0.0227,0.0197,0.0262
