Day of isolation,Mean,Lower_CI,Upper_CI
0,1.0,0.9995,1.0
1,0.9908,0.9884,0.9926
2,0.9262,0.9202,0.9317
3,0.8759,0.8685,0.883
4,0.8383,0.8301,0.8462
5,0.7937,0.7847,0.8025
6,0.7764,0.7671,0.7854
7,0.7695,0.7601,0.7786
8,0.76,0.7505,0.7692
9,0.7516,0.742,0.761
10,0.742,0.7323,0.7515
11,0.7324,0.7226,0.742
12,0.7086,0.6986,0.7185
13,0.5205,0.5095,0.5314
14,0.2776,0.2679,0.2875
15,0.1798,0.1715,0.1884
16,0.1349,0.1276,0.1426
17,0.1016,0.0951,0.1084
18,0.0797,0.074,0.0858
19,0.0642,0.0591,0.0698
20,0.0533,0.0486,0.0585
21,0.0481,0.0436,0.053
22,0.0429,0.0386,0.0475
23,0.038,0.034,0.0424
24,0.0337,0.03,0.0379
25,0.0327,0.0291,0.0369
26,0.0312,0.0276,0.0353
27,0.0292,0.0258,0.0332
28,0.0245,0.0213,0.0281
29,0.023,0.0199,0.0265
30,0.0214,0.0184,0.0248
